Amanita	SH380322.07FU	SH104846.07FU	SH053318.07FU	SH015084.07FU	-18.766947|46.869107
Amanita	SH380321.07FU	SH104845.07FU	SH053317.07FU	SH015084.07FU	32.427908|53.688046
Amanita	SH448341.07FU	SH133646.07FU	SH074249.07FU	SH032140.07FU	35.86166|104.195397
Amanita	SH448382.07FU	SH133646.07FU	SH074249.07FU	SH032140.07FU	35.86166|104.195397
Amanita	SH448378.07FU	SH133646.07FU	SH074249.07FU	SH032140.07FU	36.204824|138.252924
Amanita	SH318765.07FU	SH081619.07FU	SH037499.07FU	SH002845.07FU	-13.133897|27.849332
Amanita	SH318795.07FU	SH081630.07FU	SH037499.07FU	SH002845.07FU	-13.133897|27.849332
Amanita	SH448384.07FU	SH133644.07FU	SH074248.07FU	SH032138.07FU	35.907757|127.766922
Amanita	SH448443.07FU	SH133644.07FU	SH074248.07FU	SH032138.07FU	36.204824|138.252924
Amanita	SH448467.07FU	SH133644.07FU	SH074248.07FU	SH032138.07FU	36.204824|138.252924
Amanita	SH371375.07FU	SH101623.07FU	SH051096.07FU	SH013399.07FU	35.86166|104.195397
Amanita	SH371391.07FU	SH101641.07FU	SH051113.07FU	SH013399.07FU	35.86166|104.195397
Amanita	SH371401.07FU	SH101623.07FU	SH051096.07FU	SH013399.07FU	35.86166|104.195397
Amanita	SH371402.07FU	SH101623.07FU	SH051096.07FU	SH013399.07FU	35.86166|104.195397
Amanita	SH371403.07FU	SH101623.07FU	SH051096.07FU	SH013399.07FU	35.86166|104.195397
Amanita	SH371404.07FU	SH101623.07FU	SH051096.07FU	SH013399.07FU	35.86166|104.195397
Amanita	SH411481.07FU	SH118439.07FU	SH063272.07FU	SH023136.07FU	58.595272|25.013607
Amanita	SH411494.07FU	SH118438.07FU	SH063269.07FU	SH023136.07FU	58.595272|25.013607
Amanita	SH411482.07FU	SH118439.07FU	SH063272.07FU	SH023136.07FU	58.595272|25.013607, 61.52401|105.318756, 58.595272|25.013607
Amanita	SH377266.07FU	SH103591.07FU	SH052368.07FU	SH014320.07FU	37.09024|-95.712891
Amanita	SH377267.07FU	SH103592.07FU	SH052369.07FU	SH014320.07FU	37.09024|-95.712891
Amanita	SH426625.07FU	SH125487.07FU	SH068401.07FU	SH027355.07FU	17.189877|-88.49765
Amanita	SH426626.07FU	SH125487.07FU	SH068401.07FU	SH027355.07FU	37.09024|-95.712891
Amanita	SH426627.07FU	SH125487.07FU	SH068401.07FU	SH027355.07FU	37.09024|-95.712891
Amanita	SH426628.07FU	SH125487.07FU	SH068401.07FU	SH027355.07FU	37.09024|-95.712891
Amanita	SH426629.07FU	SH125487.07FU	SH068401.07FU	SH027355.07FU	37.09024|-95.712891
Amanita	SH448348.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	23.634501|-102.552784
Amanita	SH448380.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	23.634501|-102.552784
Amanita	SH448385.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	23.634501|-102.552784
Amanita	SH448318.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	23.634501|-102.552784, 23.634501|-102.552784
Amanita	SH448370.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	32.427908|53.688046
Amanita	SH448417.07FU	SH133653.07FU	SH074256.07FU	SH032124.07FU	35.86166|104.195397
Amanita	SH448356.07FU	SH133664.07FU	SH074232.07FU	SH032124.07FU	35.907757|127.766922
Amanita	SH448365.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	35.907757|127.766922
Amanita	SH448415.07FU	SH133653.07FU	SH074256.07FU	SH032124.07FU	36.204824|138.252924
Amanita	SH448325.07FU	SH133657.07FU	SH074243.07FU	SH032124.07FU	37.09024|-95.712891
Amanita	SH448346.07FU	SH133650.07FU	SH074243.07FU	SH032124.07FU	37.09024|-95.712891
Amanita	SH448413.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891
Amanita	SH448414.07FU	SH133633.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891
Amanita	SH448418.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891
Amanita	SH448424.07FU	SH133633.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891
Amanita	SH448431.07FU	SH133650.07FU	SH074243.07FU	SH032124.07FU	37.09024|-95.712891
Amanita	SH448433.07FU	SH133633.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891
Amanita	SH448460.07FU	SH133690.07FU	SH074243.07FU	SH032124.07FU	37.09024|-95.712891
Amanita	SH448476.07FU	SH133698.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891
Amanita	SH448308.07FU	SH133633.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891, 37.09024|-95.712891
Amanita	SH448313.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891, 37.09024|-95.712891
Amanita	SH448392.07FU	SH133633.07FU	SH074232.07FU	SH032124.07FU	4.570868|-74.297333
Amanita	SH448400.07FU	SH133633.07FU	SH074232.07FU	SH032124.07FU	4.570868|-74.297333
Amanita	SH448421.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	4.570868|-74.297333
Amanita	SH448299.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	4.570868|-74.297333, 32.427908|53.688046, 61.52401|105.318756, 56.26392|9.501785, 55.378051|-3.435973, 46.227638|2.213749
Amanita	SH448372.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	41.87194|12.56738
