Amanita	SH380322.07FU	SH104846.07FU	SH053318.07FU	SH015084.07FU	-18.766947|46.869107	58.595272|25.013607	37.09024|-95.712891	49.817492|15.472962	-40.900557|174.885971	53.41291|-8.24389	41.902916|12.453389
Amanita	SH380321.07FU	SH104845.07FU	SH053317.07FU	SH015084.07FU	32.427908|53.688046	35.907757|127.766922	35.86166|104.195397	51.919438|19.145136	-8.967363|-171.855881	15.454166|18.732207	-4.679574|55.491977
Amanita	SH448341.07FU	SH133646.07FU	SH074249.07FU	SH032140.07FU	35.86166|104.195397	56.130366|-106.346771	-25.274398|133.775136	55.378051|-3.435973	15.454166|18.732207	42.546245|1.601554	3.202778|73.22068
Amanita	SH448382.07FU	SH133646.07FU	SH074249.07FU	SH032140.07FU	35.86166|104.195397	37.09024|-95.712891	37.09024|-95.712891	35.86166|104.195397	48.019573|66.923684	27.514162|90.433601	19.513469|-80.566956
Amanita	SH448378.07FU	SH133646.07FU	SH074249.07FU	SH032140.07FU	36.204824|138.252924	35.907757|127.766922	37.09024|-95.712891	37.09024|-95.712891	25.03428|-77.39628	32.427908|53.688046	49.214439|-2.13125
Amanita	SH318765.07FU	SH081619.07FU	SH037499.07FU	SH002845.07FU	-13.133897|27.849332	37.09024|-95.712891	23.634501|-102.552784	35.907757|127.766922	17.060816|-61.796428	12.984305|-61.287228	37.09024|-95.712891
Amanita	SH318795.07FU	SH081630.07FU	SH037499.07FU	SH002845.07FU	-13.133897|27.849332	37.09024|-95.712891	51.165691|10.451526	40.463667|-3.74922	46.227638|2.213749	43.915886|17.679076	42.708678|19.37439
Amanita	SH448384.07FU	SH133644.07FU	SH074248.07FU	SH032138.07FU	35.907757|127.766922	9.748917|-83.753428	58.595272|25.013607	-25.274398|133.775136	4.860416|-58.93018	-21.236736|-159.777671	31.952162|35.233154
Amanita	SH448443.07FU	SH133644.07FU	SH074248.07FU	SH032138.07FU	36.204824|138.252924	60.128161|18.643501	37.09024|-95.712891	-25.274398|133.775136	36.204824|138.252924	43.750298|7.412841	7.539989|-5.54708
Amanita	SH448467.07FU	SH133644.07FU	SH074248.07FU	SH032138.07FU	36.204824|138.252924	46.227638|2.213749	55.378051|-3.435973	23.634501|-102.552784	49.465691|-2.585278	-30.559482|22.937506	-51.796253|-59.523613
Amanita	SH371375.07FU	SH101623.07FU	SH051096.07FU	SH013399.07FU	35.86166|104.195397	35.86166|104.195397	37.09024|-95.712891	4.860416|-58.93018	15.870032|100.992541	49.817492|15.472962	-6.314993|143.95555
Amanita	SH371391.07FU	SH101641.07FU	SH051113.07FU	SH013399.07FU	35.86166|104.195397	41.87194|12.56738	41.87194|12.56738	37.09024|-95.712891	-13.768752|-177.156097	4.570868|-74.297333	41.153332|20.168331
Amanita	SH371401.07FU	SH101623.07FU	SH051096.07FU	SH013399.07FU	35.86166|104.195397	35.86166|104.195397	56.26392|9.501785	36.204824|138.252924	51.165691|10.451526	17.357822|-62.782998	-0.522778|166.931503
Amanita	SH371402.07FU	SH101623.07FU	SH051096.07FU	SH013399.07FU	35.86166|104.195397	-30.559482|22.937506	35.86166|104.195397	37.09024|-95.712891	21.913965|95.956223	54.236107|-4.548056	-21.178986|-175.198242
Amanita	SH371403.07FU	SH101623.07FU	SH051096.07FU	SH013399.07FU	35.86166|104.195397	37.09024|-95.712891	36.204824|138.252924	61.52401|105.318756	13.443182|-15.310139	-40.900557|174.885971	12.52111|-69.968338
